timestamp,ticker,price,score,w_spread,st_spread
2026-06-16 16:21,AAPL,299.24,4,11.07,5.88
2026-06-16 16:21,MSFT,393.83,0,14.22,3.74
2026-06-16 16:21,GOOGL,373.25,4,21.5,9.25
2026-06-16 16:21,META,600.21,0,7.6,0.13
2026-06-16 16:21,NVDA,207.41,3,10.9,7.08
2026-06-16 16:21,V,333.12,4,4.1,1.86
2026-06-16 16:21,MA,501.33,1,8.01,1.09
2026-06-16 16:21,UNH,407.65,4,14.0,12.0
2026-06-16 16:21,LLY,1122.5,4,8.66,2.23
2026-06-16 16:21,JPM,331.14,4,2.21,2.01
2026-06-16 16:21,JNJ,235.18,4,11.97,2.09
2026-06-16 16:21,PG,152.49,3,1.66,1.66
2026-06-16 16:21,HD,337.09,2,10.69,4.23
2026-06-16 16:21,COST,986.68,2,4.49,0.12
2026-06-16 16:21,ABBV,222.47,4,2.06,0.9
2026-06-16 16:21,MRK,115.17,2,14.11,1.2
2026-06-16 16:21,TMO,472.63,1,11.78,2.68
2026-06-16 16:21,ACN,165.52,0,31.37,8.19
2026-06-16 16:21,AVGO,376.71,3,17.04,11.37
2026-06-16 16:21,TXN,305.71,4,26.55,13.73
2026-06-16 16:21,QCOM,214.07,4,17.2,15.8
2026-06-16 16:21,DHR,181.35,1,14.31,5.51
2026-06-16 16:21,AMAT,568.23,4,27.77,8.93
2026-06-16 16:21,LRCX,369.34,4,29.87,10.24
2026-06-16 16:21,KLAC,237.33,4,26.04,10.34
2026-06-16 16:21,MCHP,95.63,4,22.11,11.98
2026-06-16 16:21,ADI,416.0,4,25.69,9.36
2026-06-16 16:21,SNPS,448.38,0,7.46,7.46
2026-06-16 16:21,CDNS,387.85,4,9.69,9.38
2026-06-16 16:21,ADBE,207.32,0,30.64,3.13
2026-06-16 16:21,CRM,161.71,0,26.29,2.89
2026-06-16 16:21,NOW,101.33,1,42.2,2.28
2026-06-16 16:21,INTU,280.99,0,72.74,12.51
